"Chunk","Time_sec","Memory_Mb"
"Libraries",3.02,146.9
"LoadData",5.75,1193.4
"PCA",15.75,20.1
"VizPCA1",0.74,11.5
"VizPCA2",1.66,7.9
"VizPCA3",1.95,6.2
"ElbowMetrics",0.54,1.1
"ElbowPCA",0.36,0.6
"UMAP",85.2,3.6
"VizUMAP1",2,7.2
"VizUMAP2",5.35,17.4
"SavingSeuObj",47.97,0
"Total",170.29,1415.9
