"Chunk","Time_sec","Memory_Mb"
"Libraries",2.12,146.9
"LoadData",1.94,427
"VizFOV",2.11,23.6
"VizCells",3.4,13.7
"VizUnTx",0.44,4.2
"FOVQc",6.47,215
"VizFOVQC1",1.5,5.3
"VizFOVQC2",0.44,2.4
"FalseProbesPerc",0.28,1.6
"VizCellQC1",10.25,27.7
"VizCellQC2",2.34,-5
"FOVFiltering",1.92,8.2
"VizFOVPostFilt",3.11,13
"CellFiltering",1.33,8.5
"VizPostFilt",9.24,6.8
"SavingSeuObj",17.68,0
"Total",64.57,898.9
