"Chunk","Time_sec","Memory_Mb"
"Libraries",2.98,148.7
"LoadData",5.94,1214.4
"SNNClust",64.89,61.1
"VizRes1",12.61,25.5
"VizRes2",9.54,58.2
"SetRes",0.27,0.2
"VizClus1",1.88,11.1
"VizClus2",1.15,7.6
"scTypePrep",0.83,16.9
"RunscType",7.22,13.4
"AddAnn",0.31,1.8
"VizAnn",3.39,12.9
"SavingSeuObj_clus",42.94,0
"SpatialViz",4.68,11.9
"MarkerViz1",0.7,3
"SpatialViz2",4.85,8.3
"Total",164.18,1595
