"Chunk","Time_sec","Memory_Mb"
"Libraries",2.58,146.9
"LoadData",3.41,772.8
"PCA",16.78,20.1
"VizPCA1",0.54,11.5
"VizPCA2",1.66,7.9
"VizPCA3",1.61,6.2
"ElbowMetrics",0.41,1.1
"ElbowPCA",0.37,0.6
"UMAP",61.34,3.6
"VizUMAP1",1.66,7.2
"VizUMAP2",3.53,17.4
"SavingSeuObj",20.14,0
"Total",114.03,995.3
