"Chunk","Time_sec","Memory_Mb"
"Libraries",2.51,146.8
"LoadData",2.02,425.2
"Norm",4.99,349.2
"VizVar",0.65,11.6
"SavingSeuObjs",19.59,0
"Total",29.76,932.8
