"Chunk","Time_sec","Memory_Mb"
"Libraries",2.46,146.8
"LoadData",2.2,425.2
"Norm",3.87,349.2
"VizVar",0.57,11.6
"SavingSeuObjs",19.93,0.1
"Total",29.03,932.9
