"Chunk","Time_sec","Memory_Mb"
"Libraries",8.07,457.2
"LoadData",7.2,1215.1
"PrepData",0.68,205.4
"PrepCohort",9.47,2.6
"Unsup",154.51,16.6
"UnsupProb",0.51,0.1
"ExporingUnsupProb",0.49,0
"VizUnsupProb",1.65,14.1
"VizFPUnsup",4.71,12.8
"RefinedUnsup",0.59,0
"AddClus",0.6,0.4
"VizClus",2.33,8.9
"VizClus2",2.07,2.5
"scTypePrep",2.1,16.4
"RunscType",9.31,14.8
"AddAnn",1.09,1.1
"VizAnn",5.74,13
"SavingSeuObj",50.27,0
"SpatialViz",6.29,11.8
"MarkerViz1",1.18,2.9
"SpatialViz2",7.54,8.7
"Total",276.4,2004.4
